customer_id,plan,billing_cycle,company_size,seats,monthly_revenue,acquisition_channel,signup_date,churn_date,churned,churn_reason,support_tickets_12mo,nps_score,feature_usage_pct,upgraded,risk_category
CUST-0082,Starter,Annual,1-10,1,24.65,"Social Media",2024-06-19,2025-06-04,Yes,"Budget Cuts",14,2,22,No,"High Risk"
CUST-0083,Professional,Monthly,1-10,5,126.4,"Paid Ads",2025-09-12,NULL,No,,6,9,56,No,"Low Risk"
CUST-0084,Business,Monthly,201-500,71,2288.5,Referral,2023-01-21,2024-01-17,Yes,"Missing Features",6,5,29,No,"High Risk"
CUST-0085,Starter,Monthly,11-50,21,116,Partner,2025-01-04,2025-03-14,Yes,"Company Closed",13,2,42,No,"High Risk"
CUST-0086,Business,Monthly,11-50,27,975.1,Partner,2024-07-06,NULL,No,,9,7,35,No,"Low Usage Only"
CUST-0087,Professional,Annual,51-200,17,228.31,"Direct Sales",2024-05-09,NULL,No,,2,4,88,No,"Low NPS Only"
CUST-0088,Starter,Monthly,51-200,76,355.25,Referral,2024-12-15,2025-05-29,Yes,"Budget Cuts",7,3,20,No,"High Risk"
CUST-0089,Professional,Annual,201-500,75,812.51,"Organic Search",2022-11-21,2023-10-01,Yes,"Poor Support",12,6,20,No,"High Risk"
CUST-0090,Business,Annual,51-200,67,1843.73,"Paid Ads",2022-03-28,2022-11-20,Yes,"Switched Competitor",7,1,36,No,"High Risk"
CUST-0091,Enterprise,Annual,11-50,20,1632.98,Referral,2024-10-31,2025-02-22,Yes,"Company Closed",13,2,42,No,"High Risk"
CUST-0092,Starter,Monthly,1-10,5,46.4,Partner,2025-03-16,NULL,No,,7,7,41,No,"Low Usage Only"
CUST-0093,Starter,Monthly,1-10,7,55.1,"Direct Sales",2025-10-30,NULL,No,,2,10,63,No,"Low Risk"
CUST-0094,Business,Monthly,500+,234,7154.05,Partner,2022-07-29,2025-09-30,Yes,"Poor Support",4,6,14,No,"High Risk"
CUST-0095,Professional,Monthly,11-50,14,233.05,"Paid Ads",2022-10-25,2023-04-09,Yes,"Budget Cuts",5,6,11,No,"High Risk"
CUST-0096,Starter,Monthly,11-50,15,89.9,"Direct Sales",2023-08-31,2023-09-26,Yes,"Price Too High",12,1,12,No,"High Risk"
CUST-0097,Enterprise,Monthly,51-200,31,2744.5,"Organic Search",2023-10-16,NULL,No,,1,1,22,No,"High Risk"
CUST-0098,Professional,Annual,1-10,8,137.66,"Organic Search",2025-11-28,2025-12-14,Yes,"Company Closed",10,6,43,No,"High Risk"
CUST-0099,Enterprise,Monthly,11-50,6,873.25,"Organic Search",2022-08-19,NULL,No,,3,4,70,No,"Low NPS Only"
CUST-0100,Business,Monthly,11-50,17,676.6,"Paid Ads",2023-06-11,NULL,No,,1,4,17,No,"High Risk"
CUST-0101,Starter,Monthly,1-10,2,33.35,"Organic Search",2024-12-03,2025-01-28,Yes,"Company Closed",6,3,15,No,"High Risk"
CUST-0102,Professional,Monthly,500+,62,801.85,Referral,2023-11-03,NULL,No,,11,7,88,No,"Low Risk"
CUST-0103,Professional,Monthly,1-10,4,114.55,"Social Media",2024-04-24,NULL,No,,0,6,32,No,"High Risk"
CUST-0104,Business,Monthly,11-50,17,676.6,"Organic Search",2024-11-30,2025-05-31,Yes,"Budget Cuts",12,1,30,No,"High Risk"
CUST-0105,Professional,Monthly,201-500,42,564.85,"Paid Ads",2023-12-21,NULL,No,,6,5,53,Yes,"Low NPS Only"
CUST-0106,Starter,Monthly,1-10,1,29,Referral,2024-11-18,2025-02-24,Yes,"Poor Support",4,3,20,No,"High Risk"
CUST-0107,Business,Monthly,500+,139,4318.3,Referral,2022-08-18,2024-05-09,Yes,"No Longer Needed",11,2,24,No,"High Risk"
CUST-0108,Business,Annual,51-200,30,904.95,"Organic Search",2025-08-16,NULL,No,,11,5,48,No,"High Risk"
CUST-0109,Business,Annual,51-200,16,549.74,"Organic Search",2022-11-03,NULL,No,,0,9,57,No,"Low Risk"
CUST-0110,Professional,Annual,201-500,58,641.28,Referral,2023-10-02,2025-05-01,Yes,"Missing Features",12,3,38,No,"High Risk"
CUST-0111,Starter,Annual,11-50,5,39.44,Partner,2022-12-22,2023-11-12,Yes,"Switched Competitor",15,5,29,No,"High Risk"
CUST-0112,Professional,Monthly,201-500,42,564.85,"Direct Sales",2022-01-27,2022-05-07,Yes,"Budget Cuts",7,2,40,No,"High Risk"
CUST-0113,Business,Monthly,11-50,20,766.15,Referral,2023-06-10,2023-10-31,Yes,"Company Closed",3,4,22,No,"High Risk"
CUST-0114,Starter,Monthly,500+,235,1046.9,Referral,2022-06-06,2022-06-19,Yes,"Company Closed",11,1,23,No,"High Risk"
CUST-0115,Starter,Annual,201-500,31,135.57,"Organic Search",2024-08-28,NULL,No,,0,5,75,No,"Low NPS Only"
CUST-0116,Professional,Monthly,51-200,16,256.75,"Organic Search",2025-09-03,NULL,No,,0,2,25,No,"High Risk"
CUST-0117,Professional,Annual,51-200,25,308.89,"Paid Ads",2024-03-13,2025-06-14,Yes,"Budget Cuts",0,2,28,No,"High Risk"
CUST-0118,Professional,Monthly,11-50,17,268.6,Partner,2024-12-31,2025-03-14,Yes,"No Longer Needed",0,5,25,No,"High Risk"
CUST-0119,Professional,Monthly,11-50,28,398.95,"Organic Search",2022-11-01,NULL,No,,9,8,44,No,"Low Usage Only"
CUST-0120,Professional,Annual,1-10,2,77.22,Partner,2022-03-26,NULL,No,,3,4,22,No,"High Risk"
CUST-0121,Starter,Annual,11-50,32,139.27,"Organic Search",2025-07-18,NULL,No,,6,2,81,No,"Low NPS Only"
CUST-0122,Business,Monthly,51-200,72,2318.35,"Paid Ads",2024-07-07,NULL,No,,4,7,50,Yes,"Low Risk"
CUST-0123,Starter,Annual,51-200,26,117.09,"Organic Search",2024-07-13,NULL,No,,4,4,48,No,"High Risk"
CUST-0124,Professional,Monthly,51-200,71,908.5,Referral,2022-12-15,NULL,No,,2,5,31,No,"High Risk"
CUST-0125,Business,Annual,1-10,4,245.27,"Paid Ads",2025-03-12,NULL,No,,11,6,36,Yes,"High Risk"
CUST-0126,Professional,Monthly,11-50,20,304.15,"Organic Search",2023-06-14,NULL,No,,1,5,40,Yes,"High Risk"
CUST-0127,Starter,Monthly,11-50,27,142.1,"Paid Ads",2024-12-10,2025-01-15,Yes,"Company Closed",3,3,38,No,"High Risk"
CUST-0128,Starter,Monthly,201-500,46,224.75,"Paid Ads",2022-12-30,2023-04-24,Yes,"No Longer Needed",10,2,33,No,"High Risk"
CUST-0129,Starter,Monthly,51-200,31,159.5,Referral,2022-08-24,2022-09-27,Yes,"Missing Features",10,4,22,No,"High Risk"
CUST-0130,Professional,Monthly,1-10,8,161.95,"Organic Search",2025-07-04,NULL,No,,6,1,68,No,"Low NPS Only"
CUST-0131,Business,Annual,11-50,6,296.01,Partner,2025-01-02,NULL,No,,11,9,36,No,"Low Usage Only"
CUST-0132,Starter,Annual,1-10,8,50.53,"Social Media",2025-10-20,NULL,No,,7,3,90,No,"Low NPS Only"
CUST-0133,Enterprise,Monthly,1-10,1,499,Referral,2025-03-11,NULL,No,,7,8,22,No,"Low Usage Only"
CUST-0134,Business,Annual,51-200,71,1945.22,Referral,2022-02-15,2025-07-10,Yes,"Missing Features",11,5,31,No,"High Risk"
CUST-0135,Professional,Monthly,11-50,25,363.4,"Paid Ads",2022-08-16,NULL,No,,5,9,85,No,"Low Risk"
CUST-0136,Professional,Annual,500+,106,1124.76,Partner,2022-03-06,NULL,No,,4,4,87,No,"Low NPS Only"
CUST-0137,Starter,Annual,11-50,9,54.23,"Organic Search",2023-05-07,2024-02-16,Yes,"Poor Support",4,2,41,No,"High Risk"
CUST-0138,Starter,Monthly,11-50,21,116,"Direct Sales",2022-08-01,2022-09-08,Yes,"Price Too High",1,3,19,No,"High Risk"
CUST-0139,Starter,Monthly,11-50,5,46.4,Referral,2025-01-06,2025-12-19,Yes,"Budget Cuts",7,3,22,No,"High Risk"
CUST-0140,Starter,Monthly,201-500,131,594.5,Partner,2022-02-21,2022-07-22,Yes,"Company Closed",9,3,16,No,"High Risk"
CUST-0141,Business,Annual,51-200,18,600.48,"Paid Ads",2024-03-17,NULL,No,,8,4,33,No,"High Risk"
CUST-0142,Starter,Annual,51-200,28,124.48,"Social Media",2024-08-30,NULL,No,,8,3,32,No,"High Risk"
CUST-0143,Business,Annual,1-10,7,321.38,"Organic Search",2025-09-28,NULL,No,,12,1,43,No,"High Risk"
CUST-0144,Starter,Monthly,1-10,6,50.75,"Organic Search",2023-04-02,2023-07-22,Yes,"Missing Features",3,1,44,No,"High Risk"
CUST-0145,Professional,Annual,11-50,8,137.66,"Direct Sales",2023-12-17,2024-11-17,Yes,"Poor Support",3,3,30,No,"High Risk"
CUST-0146,Enterprise,Monthly,11-50,15,1546.9,"Organic Search",2022-06-27,NULL,No,,1,5,61,No,"Low NPS Only"
CUST-0147,Starter,Annual,1-10,6,43.14,"Paid Ads",2023-10-05,2023-11-21,Yes,"Price Too High",5,3,15,No,"High Risk"
CUST-0148,Enterprise,Monthly,51-200,73,5888.2,"Organic Search",2025-02-26,NULL,No,,5,2,54,No,"Low NPS Only"
CUST-0149,Professional,Monthly,1-10,1,79,"Direct Sales",2025-07-28,NULL,No,,11,6,74,No,"Low NPS Only"
CUST-0150,Professional,Monthly,11-50,26,375.25,"Organic Search",2023-07-02,2024-02-24,Yes,"Price Too High",13,1,29,No,"High Risk"
CUST-0151,Starter,Monthly,1-10,5,46.4,"Social Media",2024-05-26,2024-12-06,Yes,"No Longer Needed",7,5,15,No,"High Risk"
CUST-0152,Business,Annual,500+,199,5192.9,Partner,2023-06-09,2024-08-22,Yes,"Poor Support",4,5,36,No,"High Risk"
CUST-0153,Starter,Monthly,1-10,6,50.75,Partner,2025-05-09,2025-11-30,Yes,"Budget Cuts",8,4,18,No,"High Risk"
CUST-0154,Professional,Annual,1-10,1,67.15,Partner,2024-08-11,2025-02-26,Yes,"Poor Support",1,5,14,No,"High Risk"
CUST-0155,Starter,Monthly,500+,230,1025.15,Referral,2022-10-14,2024-04-03,Yes,"Price Too High",6,2,35,No,"High Risk"
CUST-0156,Business,Monthly,11-50,7,378.1,"Organic Search",2024-09-20,NULL,No,,4,5,83,No,"Low NPS Only"
CUST-0157,Professional,Annual,1-10,5,107.44,"Direct Sales",2023-08-06,NULL,No,,9,2,80,No,"Low NPS Only"
CUST-0158,Enterprise,Monthly,11-50,20,1921.15,"Organic Search",2023-04-18,NULL,No,,6,2,35,No,"High Risk"
CUST-0159,Starter,Annual,51-200,66,264.99,Referral,2025-10-25,NULL,No,,8,8,30,No,"Low Usage Only"
CUST-0160,Professional,Annual,51-200,71,772.22,"Organic Search",2025-01-07,NULL,No,,9,5,93,No,"Low NPS Only"
CUST-0161,Business,Annual,1-10,4,245.27,Partner,2024-12-11,2025-04-19,Yes,"Price Too High",0,6,28,No,"High Risk"
CUST-0162,Starter,Monthly,500+,150,677.15,"Paid Ads",2022-08-09,2023-11-26,Yes,"Budget Cuts",0,3,44,No,"High Risk"
CUST-0163,Starter,Annual,1-10,2,28.35,"Paid Ads",2025-01-28,NULL,No,,3,8,20,No,"Low Usage Only"
CUST-0164,Starter,Annual,500+,220,834.4,"Organic Search",2023-08-19,2025-06-11,Yes,"Switched Competitor",4,3,12,No,"High Risk"
CUST-0165,Starter,Annual,201-500,34,146.67,"Organic Search",2024-07-15,NULL,No,,12,5,60,No,"Low NPS Only"
CUST-0166,Starter,Monthly,1-10,1,29,"Social Media",2023-09-18,2025-01-25,Yes,"No Longer Needed",7,5,20,No,"High Risk"
CUST-0167,Starter,Annual,51-200,40,168.85,"Organic Search",2024-12-24,NULL,No,,10,6,35,No,"High Risk"
CUST-0168,Business,Monthly,11-50,29,1034.8,Partner,2023-04-05,2023-04-29,Yes,"No Longer Needed",12,6,45,No,"High Risk"
CUST-0169,Business,Annual,11-50,5,270.64,"Paid Ads",2023-12-06,NULL,No,,0,1,55,Yes,"Low NPS Only"
CUST-0170,Business,Monthly,11-50,32,1124.35,"Social Media",2024-10-17,NULL,No,,1,1,91,No,"Low NPS Only"
CUST-0171,Starter,Monthly,1-10,7,55.1,"Organic Search",2022-09-18,2023-07-31,Yes,"Budget Cuts",3,2,24,No,"High Risk"
CUST-0172,Business,Monthly,1-10,5,318.4,Referral,2022-07-10,2024-05-08,Yes,"No Longer Needed",14,3,38,No,"High Risk"
CUST-0173,Professional,Annual,1-10,6,117.51,"Social Media",2024-09-14,NULL,No,,12,9,38,No,"Low Usage Only"
CUST-0174,Enterprise,Annual,201-500,65,4495.99,"Paid Ads",2024-11-30,NULL,No,,10,2,91,No,"Low NPS Only"
CUST-0175,Business,Annual,51-200,50,1412.4,"Direct Sales",2022-10-11,NULL,No,,12,8,26,No,"Low Usage Only"
CUST-0176,Starter,Monthly,500+,205,916.4,"Social Media",2023-08-06,2023-09-11,Yes,"Budget Cuts",7,3,19,No,"High Risk"
CUST-0177,Professional,Monthly,500+,239,2899.3,Partner,2024-12-06,2025-11-09,Yes,"Poor Support",4,6,14,No,"High Risk"
CUST-0178,Professional,Annual,11-50,31,369.33,"Direct Sales",2024-09-11,NULL,No,,4,6,81,No,"Low NPS Only"
CUST-0179,Starter,Monthly,51-200,67,316.1,Referral,2024-06-25,NULL,No,,3,10,26,No,"Low Usage Only"
CUST-0180,Professional,Annual,51-200,29,349.18,Referral,2022-10-12,2025-03-25,Yes,"Budget Cuts",2,5,42,No,"High Risk"
CUST-0181,Professional,Monthly,1-10,4,114.55,"Paid Ads",2024-02-08,2024-04-23,Yes,"Price Too High",9,4,44,No,"High Risk"
CUST-0182,Professional,Annual,51-200,76,822.59,Partner,2024-05-02,NULL,No,,9,6,37,No,"High Risk"
CUST-0183,Starter,Annual,201-500,83,327.84,Partner,2023-10-01,2025-01-06,Yes,"Budget Cuts",8,4,26,No,"High Risk"
CUST-0184,Starter,Monthly,1-10,7,55.1,Partner,2024-11-20,NULL,No,,8,2,63,No,"Low NPS Only"
CUST-0185,Professional,Annual,201-500,96,1024.04,Referral,2025-11-17,NULL,No,,3,8,48,No,"Low Usage Only"
CUST-0186,Business,Monthly,1-10,6,348.25,Partner,2025-06-25,2025-11-28,Yes,"Budget Cuts",3,2,17,No,"High Risk"
CUST-0187,Professional,Monthly,1-10,4,114.55,"Paid Ads",2024-09-10,2024-11-30,Yes,"Price Too High",9,3,24,No,"High Risk"
CUST-0188,Business,Monthly,11-50,28,1004.95,Referral,2022-08-11,2024-12-24,Yes,"Switched Competitor",13,4,15,No,"High Risk"
CUST-0189,Starter,Monthly,201-500,141,638,"Direct Sales",2025-09-11,NULL,No,,11,4,88,No,"Low NPS Only"
CUST-0190,Professional,Monthly,51-200,70,896.65,"Social Media",2023-07-10,NULL,No,,7,10,63,No,"Low Risk"
CUST-0191,Starter,Monthly,11-50,30,155.15,Partner,2022-12-21,2023-01-25,Yes,"No Longer Needed",15,2,23,No,"High Risk"
CUST-0192,Business,Monthly,51-200,74,2378.05,"Social Media",2022-03-16,NULL,No,,8,10,46,Yes,"Low Usage Only"
CUST-0193,Enterprise,Monthly,11-50,33,2894.2,"Social Media",2024-09-18,NULL,No,,0,1,43,Yes,"High Risk"
CUST-0194,Starter,Annual,500+,225,852.89,Referral,2023-02-27,NULL,No,,6,9,50,Yes,"Low Risk"
CUST-0195,Starter,Annual,1-10,3,32.05,"Paid Ads",2023-10-21,2024-07-19,Yes,"Budget Cuts",4,5,33,No,"High Risk"
CUST-0196,Professional,Annual,11-50,20,258.53,"Paid Ads",2025-03-06,NULL,No,,6,7,95,No,"Low Risk"
CUST-0197,Enterprise,Monthly,1-10,1,499,"Organic Search",2022-03-25,NULL,No,,8,7,32,No,"Low Usage Only"
CUST-0198,Starter,Monthly,51-200,21,116,Referral,2023-04-19,2025-01-15,Yes,"Missing Features",0,1,15,No,"High Risk"
CUST-0199,Professional,Annual,1-10,4,97.37,"Paid Ads",2025-03-03,NULL,No,,2,4,36,No,"High Risk"
CUST-0200,Professional,Annual,201-500,35,409.62,"Organic Search",2022-10-24,2024-11-02,Yes,"Missing Features",15,1,21,No,"High Risk"
CUST-0201,Starter,Monthly,11-50,13,81.2,Partner,2023-06-28,2024-10-13,Yes,"Budget Cuts",15,1,44,No,"High Risk"
CUST-0202,Starter,Monthly,11-50,30,155.15,Partner,2023-10-06,2023-11-04,Yes,"Price Too High",3,1,25,No,"High Risk"
CUST-0203,Business,Monthly,1-10,8,407.95,"Direct Sales",2023-07-30,2025-04-06,Yes,"Budget Cuts",1,5,12,No,"High Risk"
